Ref,Val,Package,PosX,PosY,Rot,Side
"Logo1","Logo","Ostranna_12d7_10d1",18.900000,-13.600000,90.000000,bottom
"RP3","REFPOINT","REF_POINT_1MM",17.600000,21.600000,0.000000,bottom
"RP4","REFPOINT","REF_POINT_1MM",-17.600000,-21.600000,0.000000,bottom
"SW1","DIPx8","DIP_SMD_X8",-21.900000,0.100000,90.000000,bottom
"ANT1","ANT_PCB_MONO_2PIN","Locket5",12.100000,0.000000,90.000000,top
"BLN1","BALUN868JOHANSON","BALUN_JOHANSON868",8.841000,18.486600,0.000000,top
"C1","10u","CAP_0603",7.879900,-20.974000,180.000000,top
"C2","0.1u","CAP_0603",-9.200000,17.700000,0.000000,top
"C3","0.1u","CAP_0603",-14.100000,7.600000,90.000000,top
"C4","0.1u","CAP_0603",-5.400000,3.400000,180.000000,top
"C5","10n","CAP_0603",1.100000,11.800000,0.000000,top
"C6","1u","CAP_0603",1.100000,7.900000,0.000000,top
"C7","0.1u","CAP_0603",7.879900,-19.374000,180.000000,top
"C8","10u","CAP_0603",8.700000,-7.400000,270.000000,top
"C9","10u","CAP_0603",-9.200000,19.300000,180.000000,top
"C10","10u","CAP_0603",-17.200000,13.200000,0.000000,top
"C11","18pF","CAP_0603",4.600000,8.600000,0.000000,top
"C12","18pF","CAP_0603",8.100000,11.100000,270.000000,top
"C13","0.1u","CAP_0603",-0.619000,17.307500,0.000000,top
"C14","0.1u","CAP_0603",7.000000,24.200000,90.000000,top
"C15","0.1u","CAP_0603",8.944000,21.376900,90.000000,top
"C16","0.1u","CAP_0603",8.100000,15.300000,270.000000,top
"C17","0.1u","CAP_0603",4.700000,14.300000,180.000000,top
"C18","0.1u","CAP_0603",-0.619000,18.907500,180.000000,top
"C19","0.1u","CAP_0603",3.800000,24.200000,90.000000,top
"C20","10u","CAP_0603",-4.135000,25.139600,0.000000,top
"C21","0.1u","CAP_0603",-4.135000,23.539600,0.000000,top
"C22","10u","CAP_0603",2.200000,24.200000,90.000000,top
"C23","3.3pF","CAP_0402",10.300000,14.765100,270.000000,top
"C25","10u","CAP_0603",-12.300000,-17.500000,270.000000,top
"C26","100pF","CAP_0402",10.502000,18.167500,90.000000,top
"D1","BAT54WS","SOD323",8.779900,-11.474000,270.000000,top
"D2","BAT54WS","SOD323",-9.100000,-21.000000,0.000000,top
"DA1","NCP1400","SOT23-5",6.079900,-11.474000,180.000000,top
"DD1","STM32L151CxTx","LQFP48",-6.900000,10.600000,180.000000,top
"DD2","LIS3","LGA16_3X3_5_3",-8.900000,24.300000,270.000000,top
"L1","22uH","IND_1210_LQH32C",7.879900,-16.074000,270.000000,top
"L2","BLM15AG102SN1","IND_0402",-11.800000,19.500000,180.000000,top
"L3","BLM15AG102SN1","IND_0402",0.300000,23.300000,180.000000,top
"L4","8.2nH","IND_0402",11.000000,16.465600,180.000000,top
"M1","MOTOR_NO_CONTACTS","Motor_no_Contacts",-6.337700,-9.481200,255.000000,top
"Q1","LED_RGB 5050","LED_5050",0.000000,0.000000,0.000000,top
"Q2","MMBT2222","SOT23-3",-17.400000,-5.600000,0.000000,top
"Q3","MMBT2222","SOT23-3",-2.466100,-16.696600,270.000000,top
"R1","100R","RES_0603",6.500000,-1.600000,180.000000,top
"R2","100R","RES_0603",6.500000,0.000000,180.000000,top
"R3","100R","RES_0603",6.500000,1.600000,180.000000,top
"R4","10k","RES_0603",3.000000,-7.400000,270.000000,top
"R5","10k","RES_0603",4.600000,-7.400000,270.000000,top
"R6","150R","RES_0603",1.400000,-7.400000,270.000000,top
"R7","100k","RES_0603",6.700000,-7.400000,90.000000,top
"R8","56k","RES_0603",1.200000,14.250000,270.000000,top
"R9","1k","RES_0603",-17.400000,-2.400000,0.000000,top
"R10","10k","RES_0603",-5.300000,18.600000,270.000000,top
"R11","10k","RES_0603",-6.900000,18.600000,90.000000,top
"R12","56k","RES_0603",5.400000,24.200000,90.000000,top
"R13","1k","RES_0603",0.833900,-16.696600,270.000000,top
"RP1","REFPOINT","REF_POINT_1MM",-17.600000,-21.600000,0.000000,top
"RP2","REFPOINT","REF_POINT_1MM",17.600000,21.600000,0.000000,top
"TP1","TESTPOINT","TESTPOINT_1MM",-1.168600,9.053300,0.000000,top
"TP2","TESTPOINT","TESTPOINT_1MM",-2.800000,15.400000,0.000000,top
"TP3","TESTPOINT","TESTPOINT_1MM",-1.200000,15.400000,0.000000,top
"XL3","CONN_1","Oval3x1.5",-10.500000,-24.800000,90.000000,top
"XL4","CONN_1","Oval3x1.5",-7.600000,-24.800000,90.000000,top
"XTAL1","27MHz","03225C4",5.100000,11.100000,0.000000,top
